Location,TagName,QuestionCount
"Canada","javascript","7428"
"Canada","python","6512"
"Canada","c#","5878"
"Canada","java","5550"
"Canada","php","4046"
"Canada","android","3889"
"Canada","html","3564"
"Canada","c++","3150"
"Canada","jquery","3002"
"Canada","css","2536"
"Russia","java","3144"
"Russia","javascript","3117"
"Russia","c#","2871"
"Russia","python","2467"
"Russia","c++","2264"
"Russia","android","2097"
"Russia","php","1358"
"Russia","ios","1057"
"Russia","html","1004"
"Russia",".net","941"
"Australia","javascript","6045"
"Australia","c#","4518"
"Australia","python","4130"
"Australia","php","3354"
"Australia","java","3254"
"Australia","html","3135"
"Australia","jquery","2720"
"Australia","css","2262"
"Australia","android","2039"
"Australia","c++","1710"
"France","javascript","9124"
"France","python","7295"
"France","java","5950"
"France","php","5607"
"France","android","3964"
"France","c#","3705"
"France","c++","3395"
"France","html","3227"
"France","jquery","2789"
"France","css","2564"
"India","javascript","32052"
"India","java","29186"
"India","android","28006"
"India","python","21402"
"India","php","19401"
"India","c#","17633"
"India","html","15884"
"India","jquery","15714"
"India","css","9863"
"India","ios","8525"
"United Kingdom","c#","13667"
"United Kingdom","javascript","12285"
"United Kingdom","php","8751"
"United Kingdom","python","7286"
"United Kingdom","java","6985"
"United Kingdom","jquery","6703"
"United Kingdom","html","6208"
"United Kingdom","c++","4566"
"United Kingdom","css","4505"
"United Kingdom","android","4292"
"Brazil","javascript","4681"
"Brazil","python","3832"
"Brazil","java","3757"
"Brazil","c#","3543"
"Brazil","android","2445"
"Brazil","php","2288"
"Brazil","html","1871"
"Brazil","jquery","1522"
"Brazil","css","1376"
"Brazil","c++","1215"
"Germany","java","17138"
"Germany","javascript","15023"
"Germany","python","15009"
"Germany","c#","14880"
"Germany","c++","9770"
"Germany","android","9724"
"Germany","php","7853"
"Germany","html","6736"
"Germany","css","5048"
"Germany","jquery","4812"
"Netherlands","c#","8106"
"Netherlands","javascript","7226"
"Netherlands","php","7038"
"Netherlands","python","4800"
"Netherlands","java","4749"
"Netherlands","html","4048"
"Netherlands","android","3495"
"Netherlands","jquery","3398"
"Netherlands","css","2923"
"Netherlands","mysql","2302"
"United States","javascript","13756"
"United States","c#","12315"
"United States","python","11208"
"United States","java","10241"
"United States","php","7245"
"United States","jquery","7113"
"United States","html","6473"
"United States","c++","6137"
"United States","android","6110"
"United States","ios","4691"