Year,TagName,NumberOfQuestions
"2008","c#","7460"
"2008",".net","5874"
"2008","java","4279"
"2008","asp.net","3767"
"2008","c++","3090"
"2008","javascript","2724"
"2008","php","2218"
"2008","sql-server","2052"
"2008","python","2050"
"2008","sql","2018"
"2009","c#","45934"
"2009","java","23871"
"2009",".net","23020"
"2009","php","20280"
"2009","asp.net","19998"
"2009","javascript","18720"
"2009","c++","15627"
"2009","jquery","14431"
"2009","iphone","13051"
"2009","python","12845"
"2010","c#","75244"
"2010","java","54239"
"2010","php","51340"
"2010","javascript","43456"
"2010","jquery","39207"
"2010","iphone","36781"
"2010","c++","31881"
"2010",".net","30832"
"2010","asp.net","29523"
"2010","android","27113"
"2011","c#","112211"
"2011","java","98412"
"2011","php","95214"
"2011","javascript","89586"
"2011","android","85307"
"2011","jquery","79324"
"2011","iphone","53484"
"2011","c++","47765"
"2011","html","47409"
"2011","asp.net","42206"
"2012","java","143953"
"2012","c#","137819"
"2012","javascript","135747"
"2012","php","130436"
"2012","android","127684"
"2012","jquery","113169"
"2012","html","74607"
"2012","ios","70221"
"2012","python","64004"
"2012","c++","62864"
"2013","javascript","194758"
"2013","java","189617"
"2013","php","165292"
"2013","c#","164446"
"2013","android","152509"
"2013","jquery","144991"
"2013","html","112346"
"2013","python","96036"
"2013","c++","81745"
"2013","ios","81155"
"2014","javascript","234095"
"2014","java","215698"
"2014","php","175744"
"2014","android","163666"
"2014","c#","161798"
"2014","jquery","141993"
"2014","html","132474"
"2014","python","115796"
"2014","ios","90325"
"2014","css","89782"
"2015","javascript","254802"
"2015","java","214558"
"2015","php","169525"
"2015","android","162539"
"2015","c#","154206"
"2015","python","136743"
"2015","html","132250"
"2015","jquery","127684"
"2015","ios","98485"
"2015","css","88333"
"2016","javascript","263555"
"2016","java","196216"
"2016","php","160302"
"2016","android","158851"
"2016","python","158006"
"2016","c#","148463"
"2016","html","126885"
"2016","jquery","111352"
"2016","ios","84574"
"2016","css","83641"
"2017","javascript","249398"
"2017","python","191464"
"2017","java","173869"
"2017","php","140441"
"2017","android","135005"
"2017","c#","131034"
"2017","html","116894"
"2017","jquery","91985"
"2017","css","77738"
"2017","ios","65848"
"2018","javascript","207794"
"2018","python","205138"
"2018","java","144846"
"2018","c#","108160"
"2018","android","107023"
"2018","php","101576"
"2018","html","87764"
"2018","css","57651"
"2018","angular","55953"
"2018","jquery","55402"
"2019","python","223782"
"2019","javascript","188125"
"2019","java","125766"
"2019","c#","99233"
"2019","android","84609"
"2019","php","77333"
"2019","html","76217"
"2019","python-3.x","60668"
"2019","reactjs","59255"
"2019","angular","50397"
"2020","python","284653"
"2020","javascript","213856"
"2020","java","120165"
"2020","c#","87452"
"2020","reactjs","85093"
"2020","html","83543"
"2020","android","74035"
"2020","php","65704"
"2020","python-3.x","62667"
"2020","r","59919"
"2021","python","251791"
"2021","javascript","179614"
"2021","java","87550"
"2021","reactjs","81796"
"2021","html","68511"
"2021","c#","66821"
"2021","android","54129"
"2021","r","51282"
"2021","node.js","49246"
"2021","php","48117"
"2022","python","230134"
"2022","javascript","154063"
"2022","reactjs","81368"
"2022","java","70248"
"2022","c#","63474"
"2022","html","56741"
"2022","r","47149"
"2022","android","43891"
"2022","pandas","43176"
"2022","node.js","42031"
"2023","python","132417"
"2023","javascript","87575"
"2023","reactjs","53321"
"2023","java","47526"
"2023","c#","43296"
"2023","android","34326"
"2023","html","33727"
"2023","r","30653"
"2023","flutter","28459"
"2023","node.js","27996"